,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[COLORECTEV_A_7.0],-0.002,0.076,-0.162,0.14,0.003,0.002,1259.0,777.0,1.0
beta[COLORECTEV_A_8.0],0.012,0.072,-0.119,0.17,0.002,0.002,1672.0,785.0,1.0
beta[COLORECTEV_A_9.0],-0.009,0.08,-0.169,0.139,0.003,0.002,1139.0,577.0,1.01
beta[DIBLAST1_A_1.0],0.014,0.044,-0.063,0.117,0.001,0.001,1613.0,818.0,1.0
beta[DIBLAST1_A_2.0],0.03,0.059,-0.078,0.154,0.002,0.001,1630.0,842.0,1.0
beta[DIBLAST1_A_3.0],0.004,0.056,-0.123,0.115,0.002,0.001,1512.0,880.0,1.0
beta[DIBLAST1_A_4.0],-0.015,0.062,-0.182,0.089,0.002,0.002,1575.0,853.0,1.0
beta[DIBLAST1_A_5.0],0.006,0.06,-0.111,0.131,0.002,0.001,1242.0,777.0,1.0
beta[DIBLAST1_A_6.0],0.008,0.062,-0.127,0.148,0.002,0.001,1258.0,949.0,1.0
beta[DIBLAST1_A_7.0],-0.005,0.068,-0.129,0.134,0.002,0.002,1919.0,994.0,1.0
beta[DIBLAST1_A_8.0],-0.005,0.067,-0.156,0.135,0.002,0.002,1742.0,922.0,1.0
beta[DIBLAST1_A_9.0],0.007,0.06,-0.118,0.136,0.002,0.002,1354.0,666.0,1.0
beta[CHOLLAST_A_1.0],0.028,0.052,-0.06,0.151,0.001,0.001,1885.0,1075.0,1.0
beta[CHOLLAST_A_2.0],-0.007,0.048,-0.107,0.098,0.001,0.001,1789.0,955.0,1.0
beta[CHOLLAST_A_3.0],-0.014,0.06,-0.14,0.106,0.002,0.002,1546.0,781.0,1.01
beta[CHOLLAST_A_4.0],-0.016,0.062,-0.164,0.109,0.002,0.001,1710.0,834.0,1.0
beta[CHOLLAST_A_5.0],0.008,0.064,-0.096,0.162,0.002,0.001,1695.0,725.0,1.0
beta[CHOLLAST_A_6.0],-0.0,0.062,-0.12,0.145,0.002,0.001,1595.0,794.0,1.0
beta[CHOLLAST_A_7.0],-0.006,0.067,-0.14,0.151,0.002,0.002,1262.0,854.0,1.0
beta[CHOLLAST_A_8.0],0.0,0.064,-0.127,0.137,0.002,0.002,1503.0,848.0,1.0
beta[CHOLLAST_A_9.0],-0.007,0.051,-0.117,0.099,0.001,0.001,1545.0,967.0,1.0
beta[BPLAST_A_1.0],0.004,0.048,-0.091,0.115,0.002,0.001,1447.0,753.0,1.0
beta[BPLAST_A_2.0],0.019,0.056,-0.085,0.145,0.002,0.002,1770.0,809.0,1.0
beta[BPLAST_A_3.0],-0.004,0.064,-0.151,0.133,0.002,0.001,1273.0,759.0,1.0
beta[BPLAST_A_4.0],0.008,0.063,-0.129,0.139,0.002,0.002,1522.0,814.0,1.01
beta[BPLAST_A_5.0],0.001,0.066,-0.146,0.124,0.002,0.002,1632.0,764.0,1.0
beta[BPLAST_A_6.0],-0.006,0.074,-0.176,0.142,0.002,0.002,1684.0,885.0,1.0
beta[BPLAST_A_7.0],-0.002,0.071,-0.151,0.148,0.002,0.002,2075.0,878.0,1.0
beta[BPLAST_A_8.0],-0.003,0.065,-0.149,0.127,0.002,0.002,1489.0,718.0,1.0
beta[BPLAST_A_9.0],-0.013,0.093,-0.17,0.137,0.003,0.002,1453.0,918.0,1.0
beta[RXDG12M_A_2.0],-0.001,0.044,-0.086,0.096,0.001,0.001,1741.0,976.0,1.0
beta[RXDG12M_A_7.0],-0.0,0.081,-0.169,0.133,0.003,0.002,1408.0,813.0,1.0
beta[RXDG12M_A_8.0],-0.005,0.069,-0.16,0.137,0.002,0.002,1450.0,826.0,1.01
beta[RXDG12M_A_9.0],0.001,0.068,-0.165,0.112,0.002,0.002,1355.0,723.0,1.01
beta[RXDL12M_A_2.0],-0.029,0.059,-0.179,0.06,0.002,0.001,1124.0,958.0,1.0
beta[RXDL12M_A_8.0],0.003,0.075,-0.168,0.146,0.003,0.002,1317.0,732.0,1.0
beta[RXDL12M_A_9.0],0.003,0.081,-0.146,0.19,0.003,0.002,1160.0,736.0,1.0
beta[RXLS12M_A_2.0],-0.026,0.061,-0.162,0.087,0.002,0.001,1297.0,751.0,1.0
beta[RXLS12M_A_8.0],0.004,0.075,-0.158,0.154,0.003,0.002,1093.0,690.0,1.0
beta[RXLS12M_A_9.0],0.001,0.076,-0.138,0.185,0.003,0.002,1224.0,696.0,1.0
beta[RXSK12M_A_2.0],-0.04,0.076,-0.238,0.054,0.002,0.002,1178.0,798.0,1.0
beta[RXSK12M_A_7.0],0.006,0.083,-0.134,0.201,0.003,0.002,1297.0,811.0,1.0
beta[RXSK12M_A_8.0],-0.001,0.079,-0.16,0.159,0.003,0.002,1244.0,700.0,1.0
beta[RXSK12M_A_9.0],0.001,0.072,-0.162,0.144,0.002,0.002,1320.0,750.0,1.0
beta[RX12M_A_2.0],-0.001,0.038,-0.071,0.09,0.001,0.001,1331.0,895.0,1.0
beta[RX12M_A_7.0],-0.006,0.075,-0.194,0.142,0.002,0.002,1382.0,669.0,1.0
beta[RX12M_A_8.0],-0.007,0.074,-0.165,0.136,0.002,0.002,1235.0,797.0,1.0
beta[RX12M_A_9.0],-0.002,0.068,-0.162,0.13,0.002,0.002,1154.0,770.0,1.0
beta[HITTEST_A_2.0],-0.012,0.036,-0.091,0.059,0.001,0.001,1608.0,963.0,1.0
beta[HITTEST_A_7.0],-0.005,0.073,-0.173,0.13,0.002,0.002,1690.0,788.0,1.0
beta[HITTEST_A_8.0],-0.007,0.084,-0.159,0.16,0.003,0.002,1111.0,680.0,1.0
beta[HITTEST_A_9.0],-0.005,0.073,-0.146,0.152,0.002,0.002,1264.0,596.0,1.0
beta[HITCOMM_A_2.0],0.015,0.037,-0.055,0.098,0.001,0.001,1465.0,1004.0,1.0
beta[HITCOMM_A_7.0],-0.003,0.069,-0.146,0.148,0.002,0.002,1741.0,746.0,1.0
beta[HITCOMM_A_8.0],-0.003,0.077,-0.157,0.149,0.002,0.002,1383.0,788.0,1.0
beta[HITCOMM_A_9.0],-0.009,0.071,-0.178,0.133,0.002,0.002,1649.0,787.0,1.01
beta[HITLOOK_A_2.0],-0.011,0.035,-0.085,0.057,0.001,0.001,1513.0,987.0,1.0
beta[HITLOOK_A_7.0],0.002,0.07,-0.143,0.141,0.002,0.002,1795.0,785.0,1.0
beta[HITLOOK_A_8.0],-0.004,0.076,-0.155,0.168,0.003,0.002,1487.0,779.0,1.0
beta[HITLOOK_A_9.0],-0.007,0.079,-0.164,0.162,0.002,0.002,1582.0,737.0,1.0
beta[ACCSSHOM_A_2.0],0.01,0.058,-0.119,0.147,0.002,0.001,1763.0,805.0,1.0
beta[ACCSSINT_A_2.0],-0.059,0.091,-0.262,0.075,0.002,0.002,1562.0,821.0,1.0
beta[ACCSSINT_A_7.0],-0.008,0.078,-0.154,0.136,0.002,0.002,1731.0,828.0,1.0
beta[ACCSSINT_A_8.0],-0.005,0.073,-0.144,0.154,0.002,0.002,1310.0,723.0,1.0
beta[ACCSSINT_A_9.0],0.003,0.074,-0.181,0.146,0.002,0.002,1511.0,754.0,1.0
beta[VIRAPP12M_A_2.0],-0.01,0.037,-0.095,0.06,0.001,0.001,1700.0,916.0,1.0
beta[VIRAPP12M_A_7.0],-0.001,0.078,-0.164,0.155,0.002,0.002,1605.0,825.0,1.0
beta[VIRAPP12M_A_8.0],-0.002,0.07,-0.156,0.129,0.002,0.001,2141.0,1045.0,1.0
beta[VIRAPP12M_A_9.0],0.008,0.072,-0.148,0.16,0.002,0.002,1829.0,441.0,1.0
beta[MEDNG12M_A_2.0],-0.09,0.105,-0.304,0.067,0.003,0.002,882.0,667.0,1.0
beta[MEDNG12M_A_7.0],-0.0,0.07,-0.148,0.123,0.002,0.002,1312.0,744.0,1.0
beta[MEDNG12M_A_8.0],-0.009,0.071,-0.178,0.119,0.002,0.002,1507.0,709.0,1.0
beta[MEDNG12M_A_9.0],-0.001,0.074,-0.124,0.156,0.003,0.002,1057.0,593.0,1.0
beta[MEDDL12M_A_2.0],-0.142,0.12,-0.361,0.038,0.004,0.003,834.0,656.0,1.0
beta[MEDDL12M_A_7.0],0.002,0.075,-0.125,0.182,0.003,0.002,1240.0,728.0,1.0
beta[MEDDL12M_A_8.0],-0.006,0.076,-0.159,0.14,0.002,0.002,1638.0,865.0,1.0
beta[MEDDL12M_A_9.0],0.003,0.08,-0.16,0.153,0.002,0.002,1718.0,919.0,1.0
beta[HOSPONGT_A_2.0],0.005,0.044,-0.087,0.103,0.001,0.001,1388.0,723.0,1.0
beta[HOSPONGT_A_7.0],-0.0,0.077,-0.143,0.171,0.002,0.002,2285.0,964.0,1.0
beta[HOSPONGT_A_8.0],-0.008,0.078,-0.134,0.17,0.003,0.002,1203.0,645.0,1.0
beta[HOSPONGT_A_9.0],-0.004,0.081,-0.147,0.153,0.003,0.002,1380.0,616.0,1.0
beta[USPLKIND_A_2.0],0.019,0.049,-0.069,0.138,0.001,0.001,1552.0,859.0,1.0
beta[USPLKIND_A_3.0],-0.009,0.063,-0.155,0.118,0.002,0.002,1498.0,917.0,1.0
beta[USPLKIND_A_4.0],0.008,0.066,-0.124,0.153,0.002,0.002,2290.0,807.0,1.0
beta[USPLKIND_A_5.0],0.019,0.089,-0.144,0.195,0.003,0.002,1106.0,610.0,1.0
beta[USPLKIND_A_6.0],-0.005,0.067,-0.147,0.138,0.002,0.002,1677.0,919.0,1.0
beta[USPLKIND_A_7.0],-0.002,0.068,-0.151,0.125,0.002,0.002,1913.0,714.0,1.0
beta[USPLKIND_A_8.0],-0.001,0.074,-0.136,0.132,0.002,0.002,1348.0,751.0,1.0
beta[USPLKIND_A_9.0],0.004,0.079,-0.129,0.21,0.003,0.002,1449.0,723.0,1.0
beta[USUALPL_A_2.0],0.011,0.049,-0.087,0.113,0.001,0.001,1333.0,852.0,1.0
beta[USUALPL_A_3.0],0.03,0.065,-0.076,0.179,0.002,0.001,1651.0,752.0,1.0
beta[USUALPL_A_7.0],-0.002,0.078,-0.156,0.164,0.003,0.002,1432.0,710.0,1.0
beta[USUALPL_A_8.0],-0.002,0.075,-0.137,0.165,0.003,0.002,1194.0,716.0,1.0
beta[USUALPL_A_9.0],-0.003,0.072,-0.144,0.166,0.002,0.002,1855.0,798.0,1.0
beta[WELLNESS_A_2.0],0.004,0.033,-0.056,0.084,0.001,0.001,1431.0,1061.0,1.0
beta[WELLNESS_A_7.0],-0.003,0.074,-0.165,0.159,0.002,0.002,1724.0,679.0,1.0
beta[WELLNESS_A_8.0],0.001,0.082,-0.159,0.172,0.003,0.003,1357.0,600.0,1.0
beta[WELLNESS_A_9.0],-0.007,0.077,-0.151,0.143,0.003,0.002,1379.0,797.0,1.0
beta[LASTDR_A_1.0],-0.009,0.047,-0.141,0.07,0.001,0.001,1317.0,876.0,1.0
beta[LASTDR_A_2.0],-0.003,0.049,-0.095,0.102,0.001,0.001,2142.0,701.0,1.0
beta[LASTDR_A_3.0],0.0,0.057,-0.117,0.135,0.002,0.001,2061.0,828.0,1.0
beta[LASTDR_A_4.0],0.014,0.062,-0.093,0.152,0.001,0.001,2010.0,1037.0,1.0
beta[LASTDR_A_5.0],0.006,0.069,-0.117,0.191,0.002,0.002,1447.0,516.0,1.0
beta[LASTDR_A_6.0],0.006,0.065,-0.128,0.149,0.002,0.002,2177.0,824.0,1.0
beta[LASTDR_A_7.0],-0.003,0.067,-0.13,0.151,0.002,0.001,1643.0,917.0,1.0
beta[LASTDR_A_8.0],-0.003,0.066,-0.157,0.121,0.002,0.002,1298.0,835.0,1.0
beta[LASTDR_A_9.0],-0.005,0.076,-0.184,0.138,0.002,0.002,2198.0,931.0,1.0
beta[DENNG12M_A_2.0],-0.101,0.097,-0.294,0.05,0.003,0.002,900.0,926.0,1.0
beta[DENNG12M_A_7.0],-0.004,0.08,-0.154,0.151,0.003,0.002,1602.0,753.0,1.0
beta[DENNG12M_A_8.0],0.001,0.069,-0.168,0.142,0.002,0.002,1527.0,891.0,1.0
beta[DENNG12M_A_9.0],-0.004,0.071,-0.14,0.129,0.002,0.002,1451.0,863.0,1.0
beta[DENDL12M_A_2.0],-0.148,0.1,-0.316,0.027,0.004,0.002,769.0,724.0,1.01
beta[DENDL12M_A_7.0],0.002,0.073,-0.135,0.166,0.002,0.002,1362.0,779.0,1.0
beta[DENDL12M_A_8.0],-0.007,0.07,-0.163,0.127,0.002,0.002,1549.0,667.0,1.0
beta[DENDL12M_A_9.0],0.001,0.076,-0.133,0.191,0.002,0.002,1448.0,727.0,1.0
beta[DENPREV_A_1.0],-0.007,0.035,-0.089,0.063,0.001,0.001,1591.0,849.0,1.0
beta[DENPREV_A_2.0],0.035,0.056,-0.044,0.165,0.002,0.001,1226.0,953.0,1.0
beta[DENPREV_A_3.0],0.016,0.051,-0.073,0.139,0.001,0.001,1361.0,823.0,1.0
beta[DENPREV_A_4.0],-0.0,0.043,-0.098,0.088,0.001,0.001,1888.0,883.0,1.0
beta[DENPREV_A_5.0],-0.033,0.067,-0.196,0.068,0.002,0.001,1593.0,880.0,1.0
beta[DENPREV_A_6.0],-0.01,0.052,-0.122,0.103,0.001,0.001,1569.0,659.0,1.0
beta[DENPREV_A_7.0],-0.007,0.069,-0.162,0.128,0.002,0.002,1317.0,787.0,1.0
beta[DENPREV_A_8.0],0.003,0.065,-0.122,0.156,0.002,0.001,1814.0,687.0,1.0
beta[DENPREV_A_9.0],-0.007,0.063,-0.149,0.122,0.002,0.002,1368.0,656.0,1.0
beta[PAYWORRY_A_2.0],-0.002,0.039,-0.091,0.074,0.001,0.001,1753.0,1021.0,1.0
beta[PAYWORRY_A_3.0],-0.15,0.074,-0.274,-0.005,0.003,0.002,675.0,502.0,1.0
beta[PAYWORRY_A_7.0],0.001,0.075,-0.137,0.154,0.002,0.002,1694.0,883.0,1.0
beta[PAYWORRY_A_9.0],-0.007,0.074,-0.137,0.142,0.002,0.002,1413.0,754.0,1.0
beta[PAYBLL12M_A_2.0],-0.045,0.06,-0.173,0.054,0.002,0.001,1374.0,958.0,1.0
beta[PAYBLL12M_A_7.0],0.004,0.07,-0.128,0.14,0.002,0.002,1604.0,769.0,1.0
beta[PAYBLL12M_A_8.0],0.005,0.067,-0.12,0.163,0.002,0.002,1604.0,685.0,1.0
beta[PAYBLL12M_A_9.0],-0.006,0.071,-0.143,0.148,0.002,0.002,1511.0,957.0,1.0
beta[HINOTYR_A_2.0],0.003,0.046,-0.104,0.095,0.001,0.001,1760.0,756.0,1.01
beta[HINOTYR_A_7.0],-0.003,0.07,-0.157,0.139,0.002,0.002,1518.0,716.0,1.0
beta[HINOTYR_A_9.0],-0.006,0.077,-0.17,0.144,0.002,0.002,1464.0,661.0,1.0
beta[PRVSCOV1_A_2.0],0.012,0.037,-0.062,0.1,0.001,0.001,1357.0,857.0,1.01
beta[PRVSCOV1_A_7.0],-0.001,0.072,-0.168,0.14,0.002,0.002,1341.0,723.0,1.0
beta[PRVSCOV1_A_8.0],0.016,0.071,-0.108,0.174,0.002,0.002,1723.0,878.0,1.0
beta[PRVSCOV1_A_9.0],-0.024,0.069,-0.191,0.084,0.002,0.002,1336.0,821.0,1.0
beta[PRDNCOV1_A_2.0],0.011,0.036,-0.054,0.094,0.001,0.001,1413.0,933.0,1.0
beta[PRDNCOV1_A_7.0],-0.007,0.074,-0.187,0.138,0.002,0.002,1670.0,919.0,1.0
beta[PRDNCOV1_A_8.0],0.017,0.07,-0.109,0.156,0.003,0.002,1076.0,591.0,1.0
beta[PRDNCOV1_A_9.0],-0.005,0.063,-0.129,0.123,0.002,0.001,1230.0,676.0,1.0
beta[PRRXCOV1_A_2.0],0.019,0.053,-0.086,0.136,0.001,0.001,1497.0,887.0,1.0
beta[PRRXCOV1_A_7.0],-0.007,0.081,-0.149,0.141,0.002,0.002,1770.0,817.0,1.0
beta[PRRXCOV1_A_8.0],0.017,0.073,-0.118,0.184,0.002,0.002,1155.0,801.0,1.0
beta[PRRXCOV1_A_9.0],-0.032,0.088,-0.22,0.094,0.003,0.002,1302.0,826.0,1.0
beta[PRHDHP1_A_2.0],0.001,0.036,-0.082,0.077,0.001,0.001,1770.0,799.0,1.0
beta[PRHDHP1_A_7.0],-0.001,0.091,-0.186,0.148,0.004,0.003,985.0,557.0,1.0
beta[PRHDHP1_A_9.0],-0.024,0.059,-0.178,0.064,0.002,0.001,1676.0,795.0,1.0
beta[PRDEDUC1_A_2.0],0.001,0.041,-0.084,0.092,0.001,0.001,1566.0,790.0,1.0
beta[PRDEDUC1_A_7.0],-0.005,0.086,-0.192,0.158,0.003,0.002,1326.0,687.0,1.0
beta[PRDEDUC1_A_8.0],-0.001,0.078,-0.135,0.142,0.002,0.002,1582.0,869.0,1.0
beta[PRDEDUC1_A_9.0],-0.014,0.056,-0.145,0.079,0.002,0.001,1417.0,804.0,1.0
beta[PLN1PAY6_A_2.0],0.001,0.062,-0.135,0.129,0.002,0.002,1432.0,882.0,1.0
beta[PLN1PAY6_A_7.0],0.002,0.069,-0.148,0.13,0.002,0.002,1121.0,766.0,1.0
beta[PLN1PAY6_A_8.0],0.013,0.074,-0.155,0.152,0.002,0.002,1500.0,814.0,1.0
beta[PLN1PAY6_A_9.0],-0.013,0.065,-0.18,0.111,0.002,0.002,1417.0,676.0,1.0
beta[PLN1PAY5_A_2.0],-0.007,0.058,-0.115,0.116,0.002,0.002,1680.0,974.0,1.0
beta[PLN1PAY5_A_7.0],0.003,0.073,-0.163,0.133,0.002,0.002,1386.0,722.0,1.0
beta[PLN1PAY5_A_8.0],0.013,0.069,-0.128,0.159,0.002,0.002,1658.0,689.0,1.0
beta[PLN1PAY5_A_9.0],-0.016,0.075,-0.198,0.105,0.002,0.002,1524.0,821.0,1.0
beta[PLN1PAY4_A_2.0],-0.022,0.066,-0.194,0.078,0.002,0.002,1114.0,832.0,1.0
beta[PLN1PAY4_A_7.0],0.002,0.073,-0.135,0.153,0.002,0.002,1307.0,826.0,1.0
beta[PLN1PAY4_A_8.0],0.018,0.076,-0.117,0.2,0.002,0.002,1633.0,879.0,1.0
beta[PLN1PAY4_A_9.0],-0.017,0.073,-0.173,0.125,0.002,0.002,1614.0,792.0,1.0
beta[PLN1PAY3_A_2.0],-0.019,0.07,-0.208,0.101,0.002,0.002,1060.0,823.0,1.01
beta[PLN1PAY3_A_7.0],0.005,0.073,-0.117,0.18,0.002,0.002,1341.0,831.0,1.0
beta[PLN1PAY3_A_8.0],0.015,0.07,-0.104,0.169,0.002,0.002,1534.0,756.0,1.0
beta[PLN1PAY3_A_9.0],-0.014,0.088,-0.191,0.156,0.003,0.002,1411.0,748.0,1.0
beta[PLN1PAY2_A_2.0],0.037,0.054,-0.042,0.159,0.001,0.001,1310.0,872.0,1.0
beta[PLN1PAY2_A_7.0],0.002,0.071,-0.136,0.162,0.002,0.002,1422.0,629.0,1.0
beta[PLN1PAY2_A_8.0],0.013,0.07,-0.134,0.154,0.002,0.002,1515.0,714.0,1.0
beta[PLN1PAY2_A_9.0],-0.012,0.074,-0.177,0.123,0.002,0.002,1853.0,871.0,1.0
beta[PLN1PAY1_A_2.0],0.011,0.051,-0.085,0.124,0.001,0.001,1791.0,877.0,1.0
beta[PLN1PAY1_A_7.0],0.002,0.08,-0.127,0.164,0.003,0.002,1344.0,596.0,1.0
beta[PLN1PAY1_A_8.0],0.015,0.066,-0.128,0.154,0.002,0.002,1315.0,797.0,1.0
beta[PLN1PAY1_A_9.0],-0.013,0.069,-0.18,0.132,0.002,0.002,1893.0,851.0,1.0
beta[PRPLCOV1_A_2.0],0.031,0.052,-0.053,0.144,0.001,0.001,1836.0,927.0,1.0
beta[PRPLCOV1_A_7.0],-0.003,0.076,-0.143,0.163,0.002,0.002,1394.0,979.0,1.0
beta[PRPLCOV1_A_8.0],0.004,0.078,-0.14,0.175,0.003,0.002,1250.0,881.0,1.0
beta[POLHLD1_A_2.0],-0.004,0.045,-0.106,0.086,0.001,0.001,1639.0,952.0,1.0
beta[POLHLD1_A_7.0],0.002,0.079,-0.156,0.165,0.003,0.002,1479.0,517.0,1.0
beta[POLHLD1_A_8.0],0.018,0.075,-0.111,0.19,0.002,0.002,1775.0,856.0,1.0
beta[POLHLD1_A_9.0],0.003,0.075,-0.155,0.143,0.002,0.002,1807.0,940.0,1.0
beta[SINCOVRX_A_2.0],-0.027,0.048,-0.142,0.053,0.001,0.001,1317.0,993.0,1.0
beta[SINCOVRX_A_7.0],0.001,0.075,-0.142,0.163,0.002,0.002,1300.0,668.0,1.0
beta[SINCOVRX_A_9.0],-0.004,0.066,-0.166,0.119,0.002,0.002,1619.0,888.0,1.0
beta[SINCOVVS_A_2.0],-0.005,0.035,-0.072,0.075,0.001,0.001,1900.0,912.0,1.0
beta[SINCOVVS_A_7.0],-0.002,0.085,-0.133,0.137,0.002,0.002,1731.0,923.0,1.0
beta[SINCOVVS_A_9.0],-0.021,0.084,-0.23,0.111,0.003,0.002,1070.0,635.0,1.0
beta[SINCOVDE_A_2.0],0.015,0.034,-0.041,0.101,0.001,0.001,1633.0,1037.0,1.0
beta[SINCOVDE_A_7.0],0.002,0.07,-0.137,0.144,0.002,0.002,1707.0,733.0,1.0
beta[SINCOVDE_A_9.0],-0.0,0.07,-0.151,0.146,0.002,0.002,1516.0,711.0,1.0
beta[HIKIND10_A_2.0],-0.005,0.053,-0.122,0.088,0.002,0.001,1551.0,814.0,1.0
beta[HIKIND10_A_7.0],-0.006,0.077,-0.171,0.138,0.002,0.002,1833.0,837.0,1.0
beta[HIKIND10_A_9.0],-0.005,0.071,-0.166,0.136,0.002,0.002,1630.0,677.0,1.0
beta[HIKIND09_A_2.0],-0.005,0.06,-0.138,0.125,0.002,0.001,1559.0,803.0,1.0
beta[HIKIND09_A_7.0],-0.002,0.063,-0.128,0.157,0.002,0.002,1128.0,924.0,1.0
beta[HIKIND09_A_9.0],-0.002,0.069,-0.151,0.142,0.002,0.002,1393.0,704.0,1.0
beta[HIKIND08_A_2.0],0.003,0.053,-0.102,0.119,0.001,0.001,1619.0,827.0,1.0
beta[HIKIND08_A_7.0],-0.006,0.077,-0.147,0.168,0.003,0.003,1436.0,637.0,1.0
beta[HIKIND08_A_9.0],-0.004,0.067,-0.142,0.148,0.003,0.002,1120.0,686.0,1.01
beta[HIKIND07_A_2.0],0.016,0.077,-0.1,0.187,0.003,0.002,1201.0,777.0,1.0
beta[HIKIND07_A_7.0],-0.0,0.071,-0.149,0.152,0.002,0.002,1560.0,775.0,1.0
